2024/09/02 15:09:14.580, 金吉路, 1号整流变35kV接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 15:09:17.139, 金吉路, 1号整流变35kV接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 15:09:20.075, 金吉路, 1号整流变35kV开关 位置 合位, 二级, 开关变位, , 
2024/09/02 15:09:22.332, 金吉路, 1号整流变35kV开关 位置 分位, 二级, 开关变位, , 
2024/09/02 15:09:32.037, 金吉路, 1号整流变35kV开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:09:34.695, 金吉路, 1号整流变35kV开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:09:39.510, 金吉路, 1号整流变35kV开关 整流柜联跳 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:09:41.542, 金吉路, 1号整流变35kV开关 整流柜联跳 复归, 一级, 保护信号变位, , 
2024/09/02 15:09:45.981, 金吉路, 1号整流变35kV开关 过流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:09:48.590, 金吉路, 1号整流变35kV开关 过流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:09:53.681, 金吉路, 1号整流变35kV开关 速断保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:09:55.712, 金吉路, 1号整流变35kV开关 速断保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:09:59.425, 金吉路, 1号整流变35kV开关 零流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:10:01.858, 金吉路, 1号整流变35kV开关 零流保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:10:05.872, 金吉路, 1号整流变35kV开关 失灵保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:10:08.405, 金吉路, 1号整流变35kV开关 失灵保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:10:13.998, 金吉路, 1号整流变35kV开关 重过负荷保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:10:16.281, 金吉路, 1号整流变35kV开关 重过负荷保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:10:24.911, 金吉路, 1号整流变35kV开关 变压器高温 报警, 二级, 保护信号变位, , 
2024/09/02 15:10:27.120, 金吉路, 1号整流变35kV开关 变压器高温 复归, 二级, 保护信号变位, , 
2024/09/02 15:10:32.062, 金吉路, 1号整流变35kV开关 变压器超温 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:10:35.197, 金吉路, 1号整流变35kV开关 变压器超温 复归, 一级, 保护信号变位, , 
2024/09/02 15:10:48.590, 金吉路, 1号整流变35kV开关 框架保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:10:52.603, 金吉路, 1号整流变35kV开关 框架保护 复归, 一级, 保护信号变位, , 
2024/09/02 15:11:02.336, 金吉路, 1号整流变35kV开关 正极柜手柄插入 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:11:04.769, 金吉路, 1号整流变35kV开关 正极柜手柄插入 复归, 一级, 保护信号变位, , 
2024/09/02 15:11:09.033, 金吉路, 1号整流变35kV开关 开关故障 跳闸, 一级, 保护信号变位, , 
2024/09/02 15:11:11.366, 金吉路, 1号整流变35kV开关 开关故障 复归, 一级, 保护信号变位, , 
2024/09/02 15:11:16.257, 金吉路, 1号整流变35kV开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 15:11:18.915, 金吉路, 1号整流变35kV开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 15:11:22.853, 金吉路, 1号整流变35kV开关 故障总信号 出现, 二级, 保护信号变位, , 
